TITLE,BRAND,MODEL,RAM(GB),ROM(GB),DISPLAY_SIZE(inch),CONNECTIVITY_TYPE,REAR_CAMERA(MP),FRONT_CAMERA(MP),BATTERY(mAh),VERSION,WARRENTY,RATINGS,REVIEWS_COUNT,ORIGINAL_PRICE(INR),FINAL_PRICE(INR),DISCOUNT_PERCENT,EXCHANGE_DISCOUNT_PRICE(INR)
domo slate tab ssm28 os13 4 gb ram 64 gb rom 8 inch with 4g tablet (black),domo,slate tab ssm28 os13,4,64,8.0,wi-fi+sim,13.0,12.0,7100,unknown,0,3.0,0,19990,7690,61,0
apple ipad (9th gen) 256 gb rom 10.2 inch with wi-fi only (silver),apple,unknown,4,256,10.2,wi-fi only,8.0,12.0,7100,ios,1,4.6,3685,47900,43799,8,33650
domo sl39 os9 3c 4 gb ram 32 gb rom 10.1 inch with 4g gaming tablet (grey),domo,sl39 os9 3c,4,32,10.1,wi-fi+sim,13.0,5.0,5020,android,1,3.4,1,19990,7990,60,0
realme pad mini 6 gb ram 128 gb rom 8.7 inch with 4g tablet (blue),realme,pad mini,6,128,8.7,wi-fi+sim,8.0,5.0,6400,android,1,4.3,1808,25999,18999,26,0
apple ipad mini (6th gen) 64 gb rom 8.3 inch with wi-fi only (space grey),apple,unknown,4,64,8.3,wi-fi only,12.0,12.0,7100,ios,1,4.6,95,49900,47489,4,35000
nokia t21 4 gb ram 64 gb rom 10.3 inch with 4g tablet (charcoel grey),nokia,t21,4,64,10.3,wi-fi+sim,8.0,8.0,7100,android,1,4.2,51,20999,18672,11,14250
apple ipad mini (6th gen) 256 gb rom 8.3 inch with wi-fi+5g (pink),apple,unknown,4,256,8.3,wi-fi+sim,12.0,12.0,7100,ios,1,4.6,95,79900,76029,4,0
apple ipad (10th gen) 64 gb rom 10.9 inch with wi-fi+5g (pink),apple,unknown,4,64,10.9,wi-fi+sim,12.0,12.0,7100,ipados,1,4.6,928,49900,47489,4,35000
apple 2024 ipad mini 512 gb rom 8.3 inch with wi-fi only (space grey),apple,unknown,4,512,8.3,wi-fi only,12.0,12.0,7100,unknown,0,4.6,12,79900,76029,4,0
apple 2025 ipad air (m3) 128 gb rom 11.0 inch with wi-fi only (purple),apple,unknown,4,128,11.0,wi-fi only,12.0,12.0,7100,ipados,1,4.5,14,59900,56999,4,42600
apple ipad mini (6th gen) 64 gb rom 8.3 inch with wi-fi only (pink),apple,unknown,4,64,8.3,wi-fi only,12.0,12.0,7100,ios,1,4.6,95,49900,47479,4,0
apple 2025 ipad (a16) 512 gb rom 11.0 inch with wi-fi only (pink),apple,unknown,4,512,11.0,wi-fi only,12.0,12.0,7100,ipados,1,4.7,573,64900,61759,4,42600
samsung galaxy tab a11 8 gb ram 128 gb rom 8.7 inch with wi-fi only gaming tablet (gray),samsung,galaxy tab a11,8,128,8.7,wi-fi only,8.0,5.0,5100,android,1,3.4,1,21999,17999,18,0
apple ipad mini (6th gen) 64 gb rom 8.3 inch with wi-fi+5g (pink),apple,unknown,4,64,8.3,wi-fi+sim,12.0,12.0,7100,ios,1,4.6,95,64900,58709,9,0
lenovo m10 5g 4 gb ram 128 gb rom 10.61 inch with wi-fi+5g tablet (abyss blue),lenovo,m10 5g,4,128,10.61,wi-fi+sim,13.0,8.0,7700,android,1,4.2,155,40000,17990,55,0
samsung galaxy tab s10 fe+ 12 gb ram 256 gb rom 13.1 inch with wi-fi only gaming tablet (blue),samsung,galaxy tab s10 fe+,12,256,13.1,wi-fi only,12.0,12.0,10090,android,1,4.6,7,75999,75999,0,42600
nokia t21 4 gb ram 64 gb rom 10.3 inch with wi-fi only tablet (grey),nokia,t21,4,64,10.3,wi-fi only,8.0,8.0,7100,android,1,4.2,51,19999,19990,0,0
realme pad 3 gb ram 32 gb rom 10.4 inch with wi-fi only tablet (grey),realme,pad,3,32,10.4,wi-fi only,8.0,8.0,7100,android,1,4.4,5749,21999,13499,38,10150
apple 2025 ipad air (m3) 128 gb rom 11.0 inch with wi-fi only (space grey),apple,unknown,4,128,11.0,wi-fi only,12.0,12.0,7100,ipados,1,4.5,14,59900,56999,4,42600
apple ipad (10th gen) 64 gb rom 10.9 inch with wi-fi+5g (blue),apple,unknown,4,64,10.9,wi-fi+sim,12.0,12.0,7100,ipados,1,4.6,928,49900,47509,4,35000
apple ipad (10th gen) 256 gb rom 10.9 inch with wi-fi only (blue),apple,unknown,4,256,10.9,wi-fi only,12.0,12.0,7100,ipados,1,4.6,928,49900,47489,4,35000
samsung galaxy tab s9 8 gb ram 128 gb rom 11.0 inch with wi-fi+5g tablet (beige),samsung,galaxy tab s9,8,128,11.0,wi-fi+sim,13.0,12.0,8400,android,0,4.7,134,96999,85999,11,42600
samsung galaxy tab a7 lite 3 gb ram 32 gb rom 8.7 inches with wi-fi only tablet (silver),samsung,galaxy tab a7 lite,3,32,8.7,wi-fi only,8.0,2.0,5100,android,1,4.3,330,14500,11599,20,8700
samsung galaxy tab s8 ultra with stylus 12 gb ram 256 gb rom 14.6 inch with wi-fi+5g tablet (graphite),samsung,galaxy tab s8 ultra with stylus,12,256,14.6,wi-fi+sim,13.0,12.0,10090,android,1,4.5,7,141999,78821,44,0
apple 2025 ipad (a16) 512 gb rom 11.0 inch with wi-fi+5g (pink),apple,unknown,4,512,11.0,wi-fi+sim,12.0,12.0,7100,ipados,1,4.7,573,79900,76029,4,42600
samsung galaxy tab a7 3 gb ram 64 gb rom 10.4 inch with wi-fi only tablet (dark grey),samsung,galaxy tab a7,3,64,10.4,wi-fi only,8.0,5.0,7040,android,1,4.4,681,21999,21999,0,16700
samsung galaxy tab a7 lte 3 gb ram 32 gb rom 10.4 inch with 4g tablet (dark grey),samsung,galaxy tab a7 lte,3,32,10.4,wi-fi+sim,8.0,5.0,7040,android,1,4.4,449,25999,14999,42,0
apple 2024 ipad mini 128 gb rom 8.3 inch with wi-fi only (starlight),apple,unknown,4,128,8.3,wi-fi only,12.0,12.0,7100,unknown,0,4.6,12,49900,48990,1,37300
samsung galaxy tab s8 ultra with stylus 12 gb ram 256 gb rom 14.6 inch with wi-fi only tablet (graphit...,samsung,galaxy tab s8 ultra with stylus,12,256,14.6,wi-fi only,13.0,12.0,10090,android,1,4.5,7,125999,84999,32,42600
domo tab slp8 os13 4 gb ram 64 gb rom 10.1 inch with 4g tablet (grey),domo,tab slp8 os13,4,64,10.1,wi-fi+sim,13.0,5.0,5020,android,1,4.6,0,29990,8990,70,0
i kall n19 4 gb ram 64 gb rom 10 inch with 4g tablet (blue),i,kall n19,4,64,10.0,wi-fi+sim,13.0,8.0,6000,android,1,4.6,0,11999,9499,20,0
apple 2025 ipad air (m3) 512 gb rom 13.0 inch with wi-fi+5g (blue),apple,unknown,4,512,13.0,wi-fi+sim,12.0,12.0,7100,ipados,1,4.4,3,124900,118849,4,0
apple ipad mini (6th gen) 256 gb rom 8.3 inch with wi-fi only (starlight),apple,unknown,4,256,8.3,wi-fi only,12.0,12.0,7100,ios,1,4.6,95,64900,61759,4,0
apple ipad mini (6th gen) 256 gb rom 8.3 inch with wi-fi+5g (starlight),apple,unknown,4,256,8.3,wi-fi+sim,12.0,12.0,7100,ios,1,4.6,95,79900,76029,4,0
iball itab bizniz mini 2 gb ram 32 gb rom 8 inch with 4g tablet (coal black),iball,itab bizniz mini,2,32,8.0,wi-fi+sim,8.0,12.0,4000,unknown,0,3.7,22,14999,10000,33,0
samsung galaxy tab s10 fe 12 gb ram 256 gb rom 10.9 inch with wi-fi+5g gaming tablet (gray),samsung,galaxy tab s10 fe,12,256,10.9,wi-fi+sim,12.0,12.0,8000,android,1,4.8,3,70999,68999,2,0
lenovo tab m10 fhd plus 6 gb ram 128 gb rom 10.61 inch with 4g tablet (frost blue),lenovo,tab m10 fhd plus,6,128,10.61,wi-fi+sim,8.0,8.0,7700,android,1,4.3,246,34000,14559,57,10950
i kall n19 4 gb ram 64 gb rom 10 inch with 4g tablet (green),i,kall n19,4,64,10.0,wi-fi+sim,13.0,8.0,6000,android,1,4.6,0,11999,9399,21,0
apple 2025 ipad (a16) 512 gb rom 11.0 inch with wi-fi only (blue),apple,unknown,4,512,11.0,wi-fi only,12.0,12.0,7100,ipados,1,4.7,573,64900,61759,4,42600
samsung galaxy tab s10 ultra 12 gb ram 512 gb rom 14.6 inch with wi-fi only gaming tablet (moonstone g...,samsung,galaxy tab s10 ultra,12,512,14.6,wi-fi only,13.0,12.0,11200,android,1,4.5,14,133999,99999,25,0
wishtel ira a1 4 gb ram 128 gb rom 11 inch with wi-fi only tablet (grey),wishtel,ira a1,4,128,11.0,wi-fi only,8.0,12.0,7100,unknown,1,4.6,0,14999,8850,40,0
samsung galaxy tab s10+ 12 gb ram 256 gb rom 12.4 inch with wi-fi only gaming tablet (platinum silver),samsung,galaxy tab s10+,12,256,12.4,wi-fi only,13.0,12.0,10090,android,1,4.7,4,101999,101999,0,42600
samsung galaxy tab s10+ 12 gb ram 256 gb rom 12.4 inch with wi-fi+5g gaming tablet (platinum silver),samsung,galaxy tab s10+,12,256,12.4,wi-fi+sim,13.0,12.0,10090,android,1,4.7,4,117599,117599,0,42600
samsung galaxy tab s10 fe 12 gb ram 256 gb rom 10.9 inch with wi-fi only gaming tablet (silver),samsung,galaxy tab s10 fe,12,256,10.9,wi-fi only,12.0,12.0,8000,android,1,4.8,3,60999,60999,0,42600
apple 2022 ipad pro (4th gen) 2 tb rom 11.0 inch with wi-fi+5g (silver),apple,unknown,4,128,11.0,wi-fi+sim,12.0,12.0,7100,ipados,1,4.7,71,204900,147609,27,42600
apple 2022 ipad pro (4th gen) 2 tb rom 11.0 inch with wi-fi only (silver),apple,unknown,4,128,11.0,wi-fi only,12.0,12.0,7100,ipados,1,4.7,71,189900,133119,29,0
apple 2022 ipad pro (4th gen) 1 tb rom 11.0 inch with wi-fi only (silver),apple,unknown,4,128,11.0,wi-fi only,12.0,12.0,7100,ipados,1,4.7,71,149900,114549,23,42600
apple 2022 ipad pro (4th gen) 1 tb rom 11.0 inch with wi-fi+5g (silver),apple,unknown,4,128,11.0,wi-fi+sim,12.0,12.0,7100,ipados,1,4.7,71,164900,123759,24,42600
swipe slate 3 hd ips display 3 gb ram 32 gb rom 10.1 inch with wi-fi only tablet (space grey),swipe,slate 3 hd ips display,3,32,10.1,wi-fi only,8.0,5.0,6000,android,0,3.7,17,17999,8999,50,6650
samsung galaxy tab s10 ultra 12 gb ram 256 gb rom 14.6 inch with wi-fi+5g gaming tablet (moonstone gra...,samsung,galaxy tab s10 ultra,12,256,14.6,wi-fi+sim,13.0,12.0,11200,android,1,4.5,14,137999,113999,17,0
samsung galaxy tab s10 ultra 12 gb ram 256 gb rom 14.6 inch with wi-fi only gaming tablet (platinum si...,samsung,galaxy tab s10 ultra,12,256,14.6,wi-fi only,13.0,12.0,11200,android,1,4.5,14,121999,110999,9,42600
samsung galaxy tab s10+ 12 gb ram 256 gb rom 12.4 inch with wi-fi+5g gaming tablet (moonstone gray),samsung,galaxy tab s10+,12,256,12.4,wi-fi+sim,13.0,12.0,10090,android,1,4.7,4,117599,99899,15,0
apple ipad mini (6th gen) 64 gb rom 8.3 inch with wi-fi only (starlight),apple,unknown,4,64,8.3,wi-fi only,12.0,12.0,7100,ios,1,4.6,95,49900,47489,4,35000
nokia tab t20 4 gb ram 64 gb rom 10.36 inch with wi-fi only tablet (blue),nokia,tab t20,4,64,10.36,wi-fi only,8.0,5.0,8200,android,0,4.2,299,19499,18899,3,0
apple 2022 ipad pro (4th gen) 512 gb rom 11.0 inch with wi-fi only (silver),apple,unknown,4,512,11.0,wi-fi only,12.0,12.0,7100,ipados,1,4.7,71,109900,95669,12,0
apple 2024 ipad mini 512 gb rom 8.3 inch with wi-fi only (blue),apple,unknown,4,512,8.3,wi-fi only,12.0,12.0,7100,unknown,0,4.6,12,79900,76029,4,0
apple 2024 ipad mini 128 gb rom 8.3 inch with wi-fi only (blue),apple,unknown,4,128,8.3,wi-fi only,12.0,12.0,7100,unknown,0,4.6,12,49900,48990,1,37300
apple 2025 ipad (a16) 512 gb rom 11.0 inch with wi-fi only (silver),apple,unknown,4,512,11.0,wi-fi only,12.0,12.0,7100,ipados,1,4.7,573,64900,61759,4,42600
samsung galaxy tab s10+ 12 gb ram 256 gb rom 12.4 inch with wi-fi only gaming tablet (moonstone gray),samsung,galaxy tab s10+,12,256,12.4,wi-fi only,13.0,12.0,10090,android,1,4.7,4,101999,99999,1,0
lenovo m8 fhd (2nd gen) 3 gb ram 32 gb rom 8 inch with wi-fi only tablet (platinum grey),lenovo,m8 fhd (2nd gen),3,32,8.0,wi-fi only,13.0,5.0,5100,android,1,3.9,18,16500,10829,34,8100
samsung galaxy tab s6 lite with stylus 4 gb ram 128 gb rom 10.4 inch with wi-fi only tablet (oxford gr...,samsung,galaxy tab s6 lite with stylus,4,128,10.4,wi-fi only,8.0,5.0,7040,android,1,4.5,1185,33999,23999,29,18300
lenovo tab m10 fhd 3rd gen 4 gb ram 64 gb rom 10.1 inch with wi-fi only tablet (storm grey),lenovo,tab m10 fhd 3rd gen,4,64,10.1,wi-fi only,8.0,5.0,5100,android,1,4.2,321,26000,13239,49,0
tcl 10 tab max 4 gb ram 64 gb rom 10.36 inches with wi-fi only tablet (blue),tcl,10 tab max,4,64,10.36,wi-fi only,13.0,8.0,8000,android,1,4.2,444,31999,31999,0,0
"wishtel ira duo pro dual sim, 8000mah with accessories (flip-cover, earphone, otg cable) 6 gb ram 64 g...",wishtel,"ira duo pro dual sim, 8000mah with accessories (flip-cover, earphone, otg cable)",6,64,10.4,wi-fi+sim,13.0,8.0,7100,android,1,4.6,0,34999,24449,30,0
apple 2025 ipad pro (m5) 12 gb ram 256 gb rom 11.0 inch with wi-fi+5g (silver),apple,2025 ipad pro (m5),12,256,11.0,wi-fi+sim,12.0,12.0,7100,ios,0,4.6,0,119900,118489,1,0
apple ipad air (5th gen) 64 gb rom 10.9 inch with wi-fi+5g (space grey),apple,unknown,4,64,10.9,wi-fi+sim,12.0,12.0,7100,ipados,1,4.6,246,69900,59799,14,0
samsung galaxy tab s10 fe+ 8 gb ram 128 gb rom 13.1 inch with wi-fi+5g gaming tablet (gray),samsung,galaxy tab s10 fe+,8,128,13.1,wi-fi+sim,12.0,12.0,10090,android,1,4.6,7,75999,71999,5,0
apple ipad (10th gen) 64 gb rom 10.9 inch with wi-fi+5g (yellow),apple,unknown,4,64,10.9,wi-fi+sim,12.0,12.0,7100,ipados,1,4.6,928,49900,47489,4,35000
samsung galaxy tab s6 lite with stylus 4 gb ram 128 gb rom 10.4 inch with 4g tablet (oxford gray),samsung,galaxy tab s6 lite with stylus,4,128,10.4,wi-fi+sim,8.0,5.0,7040,android,1,4.5,1185,41999,41999,0,32300
samsung galaxy tab s11 ultra 12 gb ram 256 gb rom 14.6 inch with wi-fi only gaming tablet (silver),samsung,galaxy tab s11 ultra,12,256,14.6,wi-fi only,13.0,12.0,11600,android,1,4.4,2,133999,110999,17,42600
lenovo tab k10 fhd 3 gb ram 32 gb rom 10.3 inches with 4g tablet (abyss blue),lenovo,tab k10 fhd,3,32,10.3,wi-fi+sim,8.0,5.0,7500,android,0,4.3,174,30000,15129,49,11400
apple 2024 ipad air (m2) 1 tb rom 11.0 inch with wi-fi+5g (purple),apple,unknown,4,128,11.0,wi-fi+sim,12.0,12.0,7100,ios,0,4.6,50,124900,118849,4,0
lenovo tab k10 fhd 4 gb ram 64 gb rom 10.3 inches with wi-fi only tablet (abyss blue),lenovo,tab k10 fhd,4,64,10.3,wi-fi only,8.0,5.0,7500,android,0,4.3,174,28000,14179,49,10700
samsung galaxy tab s6 lite with stylus 4 gb ram 64 gb rom 10.4 inch with wi-fi only tablet (oxford gre...,samsung,galaxy tab s6 lite with stylus,4,64,10.4,wi-fi only,8.0,5.0,7040,android,1,4.5,1185,30999,30999,0,0
lenovo tab k10 fhd 3 gb ram 32 gb rom 10.3 inches with wi-fi only tablet (abyss blue),lenovo,tab k10 fhd,3,32,10.3,wi-fi only,8.0,5.0,7500,android,0,4.3,174,25000,16689,33,12650
samsung galaxy tab s8+ with stylus 8 gb ram 128 gb rom 12.4 inch with wi-fi+5g tablet (silver),samsung,galaxy tab s8+ with stylus,8,128,12.4,wi-fi+sim,13.0,12.0,10090,android,1,4.7,75,99999,99999,0,0
apple 2022 ipad pro (6th gen) 1 tb rom 12.9 inch with wi-fi only (silver),apple,unknown,4,128,12.9,wi-fi only,12.0,12.0,7100,ipados,1,4.6,7,179900,140519,21,42600
apple 2022 ipad pro (6th gen) 2 tb rom 12.9 inch with wi-fi only (silver),apple,unknown,4,128,12.9,wi-fi only,12.0,12.0,7100,ipados,1,4.6,7,219900,157039,28,0
samsung galaxy tab s10 fe+ 12 gb ram 256 gb rom 13.1 inch with wi-fi only gaming tablet (gray),samsung,galaxy tab s10 fe+,12,256,13.1,wi-fi only,12.0,12.0,10090,android,1,4.6,7,75999,75999,0,42600
"acer one 4 gb ram 64 gb rom 10.1 inch with 4g tablet (rear: rose gold, front: white)",acer,one,4,64,10.1,wi-fi+sim,8.0,5.0,6600,android,1,3.8,330,29999,29999,0,0
apple ipad pro 2020 (2nd generation) 6 gb ram 1 tb rom 11 inch with 4g (space grey),apple,ipad pro 2020 (2nd generation),6,128,11.0,wi-fi+sim,12.0,7.0,7100,ipados,1,4.7,85,130900,117899,9,0
apple 2025 ipad pro (m5) 12 gb ram 256 gb rom 11.0 inch with wi-fi+5g (space black),apple,2025 ipad pro (m5),12,256,11.0,wi-fi+sim,12.0,12.0,7100,ios,0,4.6,0,119900,118489,1,0
motorola tab g62 4 gb ram 64 gb rom 10.61 inch with 4g tablet (frost blue),motorola,tab g62,4,64,10.61,wi-fi+sim,8.0,8.0,7700,android,1,4.2,1163,34000,17499,48,13200
apple ipad pro 2020 (2nd generation) 6 gb ram 1 tb rom 11 inch with 4g (silver),apple,ipad pro 2020 (2nd generation),6,128,11.0,wi-fi+sim,12.0,7.0,7100,ipados,1,4.7,85,130900,126609,3,0
apple 2025 ipad (a16) 512 gb rom 11.0 inch with wi-fi+5g (yellow),apple,unknown,4,512,11.0,wi-fi+sim,12.0,12.0,7100,ipados,1,4.7,573,79900,76029,4,42600
apple 2022 ipad pro (6th gen) 2 tb rom 12.9 inch with wi-fi+5g (silver),apple,unknown,4,128,12.9,wi-fi+sim,12.0,12.0,7100,ipados,1,4.6,7,234900,226389,3,0
apple 2022 ipad pro (6th gen) 1 tb rom 12.9 inch with wi-fi+5g (silver),apple,unknown,4,128,12.9,wi-fi+sim,12.0,12.0,7100,ipados,1,4.6,7,194900,137799,29,42600
apple 2024 ipad air (m2) 128 gb rom 13.0 inch with wi-fi only (purple),apple,unknown,4,128,13.0,wi-fi only,12.0,12.0,7100,ios,0,4.7,4,79900,76029,4,42600
apple 2024 ipad air (m2) 1 tb rom 13.0 inch with wi-fi only (purple),apple,unknown,4,128,13.0,wi-fi only,12.0,12.0,7100,ios,0,4.7,4,129900,123609,4,0
apple 2024 ipad air (m2) 1 tb rom 13.0 inch with wi-fi+5g (purple),apple,unknown,4,128,13.0,wi-fi+sim,12.0,12.0,7100,ios,0,4.7,4,144900,137889,4,0
apple 2024 ipad air (m2) 128 gb rom 13.0 inch with wi-fi+5g (purple),apple,unknown,4,128,13.0,wi-fi+sim,12.0,12.0,7100,ios,0,4.7,4,94900,90309,4,42600
"wishtel ira t1029 dual sim 8000mah & accessories (flip-cover, earphone, otg cable) 8 gb ram 256 gb rom...",wishtel,"ira t1029 dual sim 8000mah & accessories (flip-cover, earphone, otg cable)",8,256,12.0,wi-fi+sim,13.0,12.0,7100,unknown,1,4.6,0,28999,25759,11,0
acer iconia tab 6 gb ram 128 gb rom 10.36 inch with wi-fi+4g tablet (gold),acer,iconia tab,6,128,10.36,wi-fi+sim,16.0,8.0,7400,android,1,4.5,2,21999,17990,18,13650
domo tab slp9 6765 os13 4 gb ram 64 gb rom 10.1 inch with 4g tablet (grey),domo,tab slp9 6765 os13,4,64,10.1,wi-fi+sim,13.0,5.0,5020,android,1,4.6,0,29990,9290,69,0
apple 2025 ipad air (m3) 1 tb rom 13.0 inch with wi-fi+5g (blue),apple,unknown,4,128,13.0,wi-fi+sim,12.0,12.0,7100,ipados,1,4.4,3,144900,137889,4,42600
acer iconia tab 8 gb ram 256 gb rom 10.36 inch with wi-fi+4g tablet (gold),acer,iconia tab,8,256,10.36,wi-fi+sim,16.0,8.0,7400,android,1,4.5,2,21999,19990,9,15000
samsung galaxy tab s11 12 gb ram 128 gb rom 11.0 inch with wi-fi+5g gaming tablet (silver),samsung,galaxy tab s11,12,128,11.0,wi-fi+sim,13.0,12.0,8400,android,1,4.8,0,104999,93999,10,0
samsung galaxy tab s7 fe with stylus 4 gb ram 64 gb rom 12.4 inches with 4g tablet (silver),samsung,galaxy tab s7 fe with stylus,4,64,12.4,wi-fi+sim,8.0,12.0,10090,unknown,1,4.5,214,54999,54999,0,42600
apple 2025 ipad air (m3) 1 tb rom 13.0 inch with wi-fi+5g (purple),apple,unknown,4,128,13.0,wi-fi+sim,12.0,12.0,7100,ipados,1,4.4,3,144900,137889,4,42600
samsung galaxy tab s11 12 gb ram 256 gb rom 11.0 inch with wi-fi only gaming tablet (gray),samsung,galaxy tab s11,12,256,11.0,wi-fi only,13.0,12.0,8400,android,1,4.8,0,102999,85999,16,0
motorola tab g62 4 gb ram 128 gb rom 10.61 inch with 4g tablet (frost blue),motorola,tab g62,4,128,10.61,wi-fi+sim,8.0,8.0,7700,android,1,4.2,1163,31000,16999,45,12850
apple 2022 ipad pro (6th gen) 256 gb rom 12.9 inch with wi-fi+5g (silver),apple,unknown,4,256,12.9,wi-fi+sim,12.0,12.0,7100,ipados,1,4.6,7,134900,109199,19,0
samsung galaxy tab s10 fe+ 8 gb ram 128 gb rom 13.1 inch with wi-fi only gaming tablet (blue),samsung,galaxy tab s10 fe+,8,128,13.1,wi-fi only,12.0,12.0,10090,android,1,4.6,7,64999,55799,14,42600
apple ipad pro 2021 (3rd generation) 16 gb ram 2 tb rom 11 inches with wi-fi+5g (silver),apple,ipad pro 2021 (3rd generation),16,128,11.0,wi-fi+sim,12.0,12.0,7100,ipados,1,4.7,179,184900,175949,4,0
lenovo k11 (tb 330xup) 8 gb ram 128 gb rom 11 inch with wi-fi+4g gaming tablet (luna grey),lenovo,k11 (tb 330xup),8,128,11.0,wi-fi+sim,8.0,12.0,7100,unknown,1,4.6,0,44000,24999,43,0
apple 2025 ipad air (m3) 1 tb rom 11.0 inch with wi-fi+5g (blue),apple,unknown,4,128,11.0,wi-fi+sim,12.0,12.0,7100,ipados,1,4.5,14,124900,118849,4,0
samsung galaxy tab s8+ with stylus 8 gb ram 128 gb rom 12.4 inch with wi-fi+5g tablet (pink gold),samsung,galaxy tab s8+ with stylus,8,128,12.4,wi-fi+sim,13.0,12.0,10090,android,1,4.7,75,99999,99999,0,42600
samsung galaxy tab s11 ultra 12 gb ram 256 gb rom 14.6 inch with wi-fi+5g gaming tablet (gray),samsung,galaxy tab s11 ultra,12,256,14.6,wi-fi+sim,13.0,12.0,11600,android,1,4.4,2,147999,134999,8,0
samsung galaxy tab s11 12 gb ram 256 gb rom 11.0 inch with wi-fi+5g gaming tablet (gray),samsung,galaxy tab s11,12,256,11.0,wi-fi+sim,13.0,12.0,8400,android,1,4.8,0,115999,98999,14,0
samsung galaxy tab s10 fe+ 8 gb ram 128 gb rom 13.1 inch with wi-fi only gaming tablet (gray),samsung,galaxy tab s10 fe+,8,128,13.1,wi-fi only,12.0,12.0,10090,android,1,4.6,7,64999,53099,18,37300
acer iconia tab 6 gb ram 128 gb rom 11.45 inch with wi-fi+4g tablet (blue),acer,iconia tab,6,128,11.45,wi-fi+sim,16.0,8.0,7400,android,1,3.4,2,54999,21677,60,16450
apple ipad pro 2021 (3rd generation) 16 gb ram 2 tb rom 11 inches with wi-fi only (silver),apple,ipad pro 2021 (3rd generation),16,128,11.0,wi-fi only,12.0,12.0,7100,ipados,1,4.7,179,170900,162629,4,0
motorola tab g62 4 gb ram 128 gb rom 10.61 inch with wi-fi only tablet (frost blue),motorola,tab g62,4,128,10.61,wi-fi only,8.0,8.0,7700,android,1,4.2,1163,28000,16999,39,12850
samsung galaxy tab a8 3 gb ram 32 gb rom 10.5 inch with 4g tablet (pink gold),samsung,galaxy tab a8,3,32,10.5,wi-fi+sim,8.0,5.0,7040,android,1,4.4,909,26399,26390,0,20000
samsung galaxy tab s10 fe 12 gb ram 256 gb rom 10.9 inch with wi-fi+5g gaming tablet (silver),samsung,galaxy tab s10 fe,12,256,10.9,wi-fi+sim,12.0,12.0,8000,android,1,4.8,3,70999,68999,2,0
samsung galaxy tab s11 ultra 12 gb ram 256 gb rom 14.6 inch with wi-fi only gaming tablet (gray),samsung,galaxy tab s11 ultra,12,256,14.6,wi-fi only,13.0,12.0,11600,android,1,4.4,2,133999,110999,17,42600
apple ipad air (5th gen) 64 gb rom 10.9 inch with wi-fi+5g (pink),apple,unknown,4,64,10.9,wi-fi+sim,12.0,12.0,7100,ipados,1,4.6,246,69900,60749,13,42600
apple ipad air (4th gen) 256 gb rom 10.9 inch with 4g (silver),apple,unknown,4,256,10.9,wi-fi+sim,12.0,7.0,7100,ipados,1,4.7,640,80900,76989,4,0
apple ipad air (5th gen) 64 gb rom 10.9 inch with wi-fi+5g (star light),apple,unknown,4,64,10.9,wi-fi+sim,12.0,12.0,7100,ipados,1,4.6,246,69900,63409,9,42600
samsung galaxy tab s10 fe+ 8 gb ram 128 gb rom 13.1 inch with wi-fi only gaming tablet (silver),samsung,galaxy tab s10 fe+,8,128,13.1,wi-fi only,12.0,12.0,10090,android,1,4.6,7,64999,64999,0,42600
apple ipad pro 2021 (5th generation) 16 gb ram 2 tb rom 12.9 inches with wi-fi only (silver),apple,ipad pro 2021 (5th generation),16,128,12.9,wi-fi only,12.0,12.0,7100,ipados,1,4.6,16,198900,189269,4,0
samsung galaxy tab s11 ultra 12 gb ram 512 gb rom 14.6 inch with wi-fi only gaming tablet (gray),samsung,galaxy tab s11 ultra,12,512,14.6,wi-fi only,13.0,12.0,11600,android,1,4.4,2,144999,121999,15,42600
apple 2025 ipad (a16) 512 gb rom 11.0 inch with wi-fi only (yellow),apple,unknown,4,512,11.0,wi-fi only,12.0,12.0,7100,ipados,1,4.7,573,64900,61759,4,42600
samsung galaxy tab s11 12 gb ram 128 gb rom 11.0 inch with wi-fi+5g gaming tablet (gray),samsung,galaxy tab s11,12,128,11.0,wi-fi+sim,13.0,12.0,8400,android,1,4.8,0,104999,93999,10,0
apple ipad air (5th gen) 64 gb rom 10.9 inch with wi-fi+5g (blue),apple,unknown,4,64,10.9,wi-fi+sim,12.0,12.0,7100,ipados,1,4.6,246,69900,59909,14,42600
"wishtel ira t811 dual sim, 5500mah & accessories (flip-cover, earphone, otg cable) 4 gb ram 64 gb rom ...",wishtel,"ira t811 dual sim, 5500mah & accessories (flip-cover, earphone, otg cable)",4,64,8.4,wi-fi+sim,8.0,5.0,7100,android,1,4.6,0,18999,12959,31,0
apple ipad pro 2021 (5th generation) 16 gb ram 1 tb rom 12.9 inches with wi-fi+5g (silver),apple,ipad pro 2021 (5th generation),16,128,12.9,wi-fi+sim,12.0,12.0,7100,ipados,1,4.6,16,176900,168339,4,0
apple ipad mini (6th gen) 256 gb rom 8.3 inch with wi-fi only (purple),apple,unknown,4,256,8.3,wi-fi only,12.0,12.0,7100,ios,1,4.6,95,64900,61759,4,0
samsung galaxy tab s9+ 12 gb ram 256 gb rom 12.4 inch with wi-fi only tablet (beige),samsung,galaxy tab s9+,12,256,12.4,wi-fi only,13.0,12.0,10090,android,0,4.7,108,101999,101999,0,42600
