TITLE,BRAND,MODEL,RAM(GB),ROM(GB),DISPLAY_SIZE(inch),CONNECTIVITY_TYPE,REAR_CAMERA(MP),FRONT_CAMERA(MP),BATTERY(mAh),VERSION,WARRENTY,RATINGS,REVIEWS_COUNT,ORIGINAL_PRICE(INR),FINAL_PRICE(INR),DISCOUNT_PERCENT,EXCHANGE_DISCOUNT_PRICE(INR)
samsung galaxy tab s9 fe 8 gb ram 256 gb rom 10.9 inch with wi-fi only tablet (gray),samsung,galaxy tab s9 fe,8,256,10.9,wi-fi only,8.0,12.0,10090,android,1,4.5,226,51999,36990,28,27500
oppo pad se 4 gb ram 128 gb rom 10.95 inch with wi-fi only gaming tablet (twilight blue),oppo,pad se,4,128,10.95,wi-fi only,5.0,5.0,9340,android,1,4.4,151,19499,13999,28,10600
oppo pad se 4 gb ram 128 gb rom 10.95 inch with wi-fi only gaming tablet (starlight silver),oppo,pad se,4,128,10.95,wi-fi only,5.0,5.0,9340,android,1,4.4,151,19499,13999,28,10600
samsung galaxy tab a9+ 4 gb ram 64 gb rom 11.0 inch with wi-fi+5g tablet (graphite),samsung,galaxy tab a9+,4,64,11.0,wi-fi+sim,8.0,5.0,7040,android,1,4.5,1464,27999,22999,17,17050
lenovo tab p12 8 gb ram 256 gb rom 12.7 inch with wi-fi only tablet (storm grey),lenovo,tab p12,8,256,12.7,wi-fi only,13.0,8.0,10200,android,1,4.4,210,42000,22999,45,17050
infinix xpad lte 8 gb ram 256 gb rom 11.0 inch with 4g tablet (steller grey),infinix,xpad lte,8,256,11.0,wi-fi+sim,8.0,8.0,7000,android,1,4.4,271,24999,14999,40,11200
lenovo tab m11 4 gb ram 128 gb rom 11.0 inch with 4g tablet (seafoam green),lenovo,tab m11,4,128,11.0,wi-fi+sim,13.0,8.0,7040,android,1,4.3,434,31000,13999,54,10600
infinix xpad lte 8 gb ram 256 gb rom 11.0 inch with 4g tablet (frost blue),infinix,xpad lte,8,256,11.0,wi-fi+sim,8.0,8.0,7000,android,1,4.4,271,24999,14999,40,11200
infinix xpad lte 8 gb ram 256 gb rom 11.0 inch with 4g tablet (titan gold),infinix,xpad lte,8,256,11.0,wi-fi+sim,8.0,8.0,7000,android,1,4.4,271,24999,14999,40,11200
infinix xpad lte 4 gb ram 128 gb rom 11.0 inch with 4g tablet (steller grey),infinix,xpad lte,4,128,11.0,wi-fi+sim,8.0,8.0,7000,android,1,4.4,271,19999,11999,40,0
